text,favorite_count,date_creation,retweet_count,date
drelidavid,1992,2023-02-12 22:50:22+00:00,105,2023-02-12
teslaownerssv realdanodowd,1287,2023-02-12 22:44:00+00:00,66,2023-02-12
aliteslamy davidsacks actual reality of lobbying is crazier than the movie,1354,2023-02-12 22:43:42+00:00,76,2023-02-12
cbdoge crazy that starship is real,1933,2023-02-12 22:41:47+00:00,132,2023-02-12
good soundtrack,2891,2023-02-12 22:41:07+00:00,215,2023-02-12
evafoxu stationcdrkelly spacex commercial terminals like other commercial products are meant for private use not military but we have not exercised our right to turn them off,,,,
were trying hard to do the right thing,"where the “right thing” is an extremely difficult moral question.\"",1332,2023-02-12 22:37:25+00:00,
cbdoge hopefully one day we will be the aliens visiting other worlds,13073,2023-02-12 22:30:30+00:00,791,2023-02-12
starship orbital launch attempt soon,17511,2023-02-12 22:29:26+00:00,1994,2023-02-12
paulg absolutely twitter is also a competitor to legacy media for news so they are fundamentally conflicted,8888,2023-02-12 21:12:27+00:00,558,2023-02-12
romanyam,914,2023-02-12 21:08:44+00:00,44,2023-02-12
dogeofficialceo stationcdrkelly exactly,9817,2023-02-12 21:02:52+00:00,312,2023-02-12
stationcdrkelly youre smart enough not to swallow media amp other propaganda bs,,,,
starlink is the communication backbone of ukraine,especially at the front lines,where almost all other Internet connectivity has been destroyed.,,
but we will not enable escalation of conflict that may lead to ww,71107,2023-02-12 21:00:06+00:00,6256,2023-02-12
farzyness exactly this will greatly increase public awareness that a tesla can drive itself supervised for now,3663,2023-02-12 20:49:54+00:00,193,2023-02-12
drelidavid seriously,9019,2023-02-12 20:08:27+00:00,436,2023-02-12
more work team completed over night,,,,
removed height penalty affecting tweets with picsvideo,,,,
increased  of recommended tweets,,,,
better tracking of dropped tweets,,,,
removed filter causing false negatives,,,,
removed penaltyif user follows author,,,,
improved reach of retweet,14645,2023-02-12 19:01:54+00:00,1377,2023-02-12
muskuniversity maybe thats what bacteria think as they encounter your water filter,6087,2023-02-12 18:37:04+00:00,246,2023-02-12
unusualwhales lol,4427,2023-02-12 18:34:49+00:00,151,2023-02-12
dont worry just some of my   friends of mine stopping by,223831,2023-02-12 18:34:07+00:00,20862,2023-02-12
billymk,4919,2023-02-12 18:21:51+00:00,172,2023-02-12
wholemarsblog exactly,16087,2023-02-12 10:00:23+00:00,596,2023-02-12
billymk,2674,2023-02-12 08:57:08+00:00,118,2023-02-12
chrislamma thats pretty much exactly what i look like when searching for snacks at am,7722,2023-02-12 08:54:48+00:00,222,2023-02-12
markusreimer v single stack goes to limited beta this week probably  before wide release in north america,,,,
then we adapt for eu roads amp submit to regulators  of what weve done so far for na applies ww,4750,2023-02-12 08:53:07+00:00,464,2023-02-12
"",326397,2023-02-12 08:21:15+00:00,22460,2023-02-12
engineersfeed lol,7479,2023-02-12 08:03:14+00:00,234,2023-02-12
billymk the giant block lists are problematic they mess up the recommendation system amp create a ddos vector,10181,2023-02-12 07:56:23+00:00,656,2023-02-12
tittertakeover we will transition to using only paid blue verified for signals as otherwise too vulnerable to bottroll manipulation,5192,2023-02-12 07:44:12+00:00,359,2023-02-12
leahlamarr,17948,2023-02-12 07:06:53+00:00,344,2023-02-12
marcushouse anecdotally it wasnt as loud as expected,4261,2023-02-12 06:56:30+00:00,178,2023-02-12
cbdoge yes advertising also needs to be semantic keywordbased so its contextually relevant amazingly ads shown when doing twitter searches dont consider the search words were changing that as fast as possible,2267,2023-02-12 06:52:15+00:00,189,2023-02-12
oversized font amp undersized paragraph spacing will be fixed this week,28824,2023-02-12 06:46:55+00:00,1747,2023-02-12
long day at twitter hq with eng team,,,,
two significant problems mostly addressed,,,,
fanout service for following feed was getting overloaded when i tweeted,"resulting in up to 95% of my tweets not getting delivered at all. Following is now pulling from search (aka Earlybird).… https://t.co/oMW54chhRz\"",91535,2023-02-12 06:45:14+00:00,
bucksexton wellsaid,8207,2023-02-12 06:13:12+00:00,456,2023-02-12
clownworld true,24342,2023-02-12 06:11:48+00:00,1007,2023-02-12
statsfeed certainly feels that way,7518,2023-02-12 05:04:24+00:00,282,2023-02-12
starship super heavy,116013,2023-02-12 04:29:17+00:00,7517,2023-02-12
alx zerohedge,32713,2023-02-12 02:45:36+00:00,1593,2023-02-12
jaxmicrowave tuxlemons endwokeness,1814,2023-02-12 02:39:04+00:00,105,2023-02-12
benfrankzyn joerogan spaceforcedod,10339,2023-02-12 01:38:11+00:00,389,2023-02-12
disclosetv extremely concerning,119410,2023-02-12 00:21:15+00:00,7084,2023-02-12
muskuniversity this is the fundamental reason why tesla was the first new american car company to reach sustained positive cash flow since chrysler  years ago,,,,
the product has to be compelling enough to overcome a fundamental cost disadvantage,14417,2023-02-11 23:21:33+00:00,888,2023-02-11
wholemarsblog exactly,6262,2023-02-11 22:21:08+00:00,337,2023-02-11
teslaownerssv great tesla solar roof install,14699,2023-02-11 22:19:45+00:00,644,2023-02-11
ruanefootball periscope does partly live on with spaces but no question that we need to bring back an even better version of vine,14964,2023-02-11 21:11:01+00:00,776,2023-02-11
evafoxu absolutely,15703,2023-02-11 20:04:48+00:00,623,2023-02-11
muskuniversity consciousness should be thought of as a tiny candle in a vast darkness that could easily go out we should do anything possible to keep that flame alive,50438,2023-02-11 19:59:52+00:00,4749,2023-02-11
